Date,Rain,max_temp,min_temp
2015-12-01,1,51,44
2015-12-02,1,57,46
2015-12-03,1,55,44
2015-12-04,0,51,42
2015-12-05,0,51,40
2015-12-06,0,53,39
2015-12-07,0,54,42
2015-12-08,0,49,41
2015-12-09,0,55,40
2015-12-10,1,60,51
2015-12-11,0,61,50
2015-12-12,1,66,55
2015-12-13,0,67,55
2015-12-14,1,67,53
2015-12-15,1,68,53
2015-12-16,1,53,46
2015-12-17,1,59,50
2015-12-18,1,57,38
2015-12-19,0,40,35
2015-12-20,0,43,34
2015-12-21,0,56,39
2015-12-22,1,62,53
2015-12-23,1,64,52
2015-12-24,1,72,63
2015-12-25,1,66,57
2015-12-26,1,59,47
2015-12-27,1,61,46
2015-12-28,1,46,34
2015-12-29,1,46,34
2015-12-30,1,48,38
2015-12-31,1,48,42
